94,Hiiiihi :3
95,Hay quáaaa =))
96,Yêuuuu :3
97,Ở mức khá
98,Mong mấy vid beat guitar này b thêm lời để những người như mình biết bắt đầu vào lúc nào :((
99,Em mang đi cho anhhh
100,"Hay lắm b , mà cần luyến thêm nhé .."
101,"Hay quá!
Đúng fa của mình luôn"
102,Tui cx làm dutúpbơ qua xem đêhttps://www.youtube.com/channel/UCs4kEEaIsGprNVivptoDP0w
103,"Lời bh 
Ánh trăng lạc lối gieo phù hoa duyên hóa thành tro
Mặt hồ rung lên mang hạt mưa xuyên nát lòng ta
Trái tim rộng lớn thu nhân gian trong đôi mắt sầu lo
Bầu trời riêng ta ru lời ca nhắn ai đừng xa

Hà a ha à a, nhắn ai đừng xa
Nhìn từng chiếc lá úa phai màu rụng rời ngoài hiên
Hà a ha à a, mình ta với ta thôi mà
Tấm thân này chịu nhiều đớn đau lưu luyến

Gió lung lay bàn tay nâng cánh hoa tình
Dẫu trăm năm người thương vẫn cách xa mình
Thuyền mãi ra khơi đi về nơi con sóng vô hình
Chốn xa xăm trùng dương muôn hướng vạn lý"
104,Lâu r ms xem a Nhân
105,Minz Idol hihiiii
106,"Mình thấy rất hay đấy ạ❤️
Cho mình hỏi giờ muốn học đánh solo thì nên bắt đầu từ đâu ạ"
107,Trang Nguyen bạn có thể xem những video hướng dẫn Solo 1 bài nào đó. Và khi b tập nhiều thì sẽ dần tự mò ra thôi ạ
108,Trang Nguyen bạn có thể xem những video hướng dẫn Solo 1 bài nào đó. Và khi b tập nhiều thì sẽ dần tự mò ra thôi ạ
109,Hay quá bạn ơi
110,Làm thử 1 đoạn bài hồng lâu mộng đi Nhân :))
111,Hieu Nguyen ừaaaaa. Để gì tui tập
112,Nguyễn Thanh Nhân  Đánh 1 đoạn thui :33
113,Hieu Nguyen uầy cái này rappp tui ráp dở lắmmmm
114,Trời hôm nay xinh cực
115,Thương Đỗ kkkk
116,@Nguyễn Thanh Nhân cống hiến cho nghệ thuật quá
117,Thương Đỗ xinhhh. Nhân trèo lên mái tôn quay luôn á :))
